Row_ID,Order_ID,Order Date,Ship Date,Ship Mode,Customer_ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product_ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,ship_ID,Category_ID,City_ID,Date_ID,Year,Month,Day,Month_Name
22,CA-2016-137330,2016-12-09,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,2,2,10,10,2016,12,9,December
24,US-2017-156909,2017-07-16,7/18/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,1,1,11,11,2017,7,16,July
25,CA-2015-106320,2015-09-25,9/30/2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,2,1,12,12,2015,9,25,September
26,CA-2016-121755,2016-01-16,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,1,2,2,13,2016,1,16,January
28,US-2015-150630,2015-09-17,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,2,1,11,14,2015,9,17,September
35,CA-2017-107727,2017-10-19,10/23/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,1,2,13,15,2017,10,19,October
36,CA-2016-117590,2016-12-08,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,3,3,14,16,2016,12,8,December
38,CA-2015-117415,2015-12-27,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,2,2,13,17,2015,12,27,December
42,CA-2017-120999,2017-09-10,9/15/2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,2,3,15,18,2017,9,10,September
43,CA-2016-101343,2016-07-17,7/22/2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,2,2,2,19,2016,7,17,July
44,CA-2017-139619,2017-09-19,9/23/2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,2,2,16,20,2017,9,19,September
45,CA-2016-118255,2016-03-11,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,3,3,17,21,2016,3,11,March
47,CA-2014-146703,2014-10-20,10/25/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,1,2,18,22,2014,10,20,October
48,CA-2016-169194,2016-06-20,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,45.0,3,0.0,4.95,2,3,19,23,2016,6,20,June
50,CA-2015-115742,2015-04-18,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,2,2,20,24,2015,4,18,April
54,CA-2016-105816,2016-12-11,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,2,2,21,25,2016,12,11,December
56,CA-2016-111682,2016-06-17,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,3,2,22,26,2016,6,17,June
63,CA-2015-135545,2015-11-24,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,2,3,2,27,2015,11,24,November
67,US-2015-164175,2015-04-30,5/5/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,2,1,23,28,2015,4,30,April
68,CA-2014-106376,2014-12-05,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,2,2,24,29,2014,12,5,December
70,CA-2016-119823,2016-06-04,6/6/2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,3,2,25,30,2016,6,4,June
71,CA-2016-106075,2016-09-18,9/23/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,2,2,21,31,2016,9,18,September
72,CA-2017-114440,2017-09-14,9/17/2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,1,2,26,32,2017,9,14,September
73,US-2015-134026,2015-04-26,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,2,1,27,33,2015,4,26,April
76,US-2017-118038,2017-12-09,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,3,2,13,34,2017,12,9,December
79,US-2014-147606,2014-11-26,12/1/2014,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,1,1,13,35,2014,11,26,November
80,CA-2016-127208,2016-06-12,6/15/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,3,2,28,1,2016,6,12,June
82,CA-2014-139451,2014-10-12,10/16/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,2,2,9,36,2014,10,12,October
84,CA-2015-149734,2015-09-03,9/8/2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,2,2,29,37,2015,9,3,September
85,US-2017-119662,2017-11-13,11/16/2017,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,3,2,23,38,2017,11,13,November
86,CA-2017-140088,2017-05-28,5/30/2017,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,1,1,30,39,2017,5,28,May
87,CA-2017-155558,2017-10-26,11/2/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,2,3,31,40,2017,10,26,October
89,CA-2016-159695,2016-04-05,4/10/2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,1,2,13,41,2016,4,5,April
90,CA-2016-109806,2016-09-17,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,2,2,2,42,2016,9,17,September
93,CA-2015-149587,2015-01-31,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,1,2,32,43,2015,1,31,January
96,US-2017-109484,2017-11-06,11/12/2017,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,2,2,33,44,2017,11,6,November
97,CA-2017-161018,2017-11-09,11/11/2017,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,1,1,21,45,2017,11,9,November
98,CA-2017-157833,2017-06-17,6/20/2017,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,3,2,9,46,2017,6,17,June
99,CA-2016-149223,2016-09-06,9/11/2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,2,2,34,47,2016,9,6,September
100,CA-2016-158568,2016-08-29,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,2,2,23,48,2016,8,29,August
103,CA-2016-129903,2016-12-01,12/4/2016,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,1,2,31,49,2016,12,1,December
104,US-2015-156867,2015-11-13,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,2,3,35,50,2015,11,13,November
107,CA-2017-119004,2017-11-23,11/28/2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,2,3,36,51,2017,11,23,November
110,CA-2015-129476,2015-10-15,10/20/2015,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,LogitechÂ Gaming G510s - Keyboard,339.96,5,0.2,67.992,2,3,37,52,2015,10,15,October
111,CA-2017-146780,2017-12-25,12/30/2017,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096,2,1,21,53,2017,12,25,December
112,CA-2016-128867,2016-11-03,11/10/2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788,2,2,38,54,2016,11,3,November
114,CA-2014-115259,2014-08-25,8/27/2014,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,1,2,39,55,2014,8,25,August
118,CA-2015-110457,2015-03-02,3/6/2015,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813,2,1,5,56,2015,3,2,March
119,US-2015-136476,2015-04-05,4/10/2015,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,2,2,40,57,2015,4,5,April
120,CA-2016-103730,2016-06-12,6/15/2016,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456,3,1,41,1,2016,6,12,June
125,US-2014-152030,2014-12-26,12/28/2014,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,1,1,13,58,2014,12,26,December
126,US-2014-134614,2014-09-20,9/25/2014,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682,2,1,42,59,2014,9,20,September
127,US-2017-107272,2017-11-05,11/12/2017,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,2,2,43,60,2017,11,5,November
129,US-2016-125969,2016-11-06,11/10/2016,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,1,1,2,61,2016,11,6,November
131,US-2017-164147,2017-02-02,2/5/2017,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994,3,3,39,62,2017,2,2,February
134,CA-2016-145583,2016-10-13,10/19/2016,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3,0.0,9.6192,2,2,44,63,2016,10,13,October
141,CA-2016-110366,2016-09-05,9/7/2016,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35,1,1,11,64,2016,9,5,September
142,CA-2017-106180,2017-09-18,9/23/2017,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,3,0.0,2.3814,2,2,9,65,2017,9,18,September
145,CA-2017-155376,2017-12-22,12/27/2017,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0.0,218.2518,2,2,45,66,2017,12,22,December
146,CA-2015-110744,2015-09-07,9/12/2015,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0.0,20.1579,2,2,46,67,2015,9,7,September
147,CA-2014-110072,2014-10-22,10/28/2014,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096,2,1,47,68,2014,10,22,October
148,CA-2016-114489,2016-12-05,12/9/2016,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,TEC-PH-10000215,Technology,Phones,Plantronics CordlessÂ Phone HeadsetÂ with In-line Volume - M214C,384.45,11,0.0,103.8015,2,3,48,5,2016,12,5,December
152,CA-2016-158834,2016-03-13,3/16/2016,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766,3,2,49,69,2016,3,13,March
154,CA-2015-124919,2015-05-31,6/2/2015,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0.0,26.271,3,2,50,70,2015,5,31,May
157,CA-2015-118948,2015-05-28,6/3/2015,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63,3,0.0,1.7901,2,2,5,71,2015,5,28,May
158,CA-2014-104269,2014-03-01,3/6/2014,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,1,1,5,72,2014,3,1,March
159,CA-2016-114104,2016-11-20,11/24/2016,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2,0.0,6.8714,2,2,51,73,2016,11,20,November
161,CA-2016-162733,2016-05-11,5/12/2016,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0.0,2.691,3,2,2,74,2016,5,11,May
162,CA-2015-119697,2015-12-28,12/31/2015,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596,1,3,11,75,2015,12,28,December
163,CA-2016-154508,2016-11-16,11/20/2016,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4,5,0.0,13.348,2,2,52,76,2016,11,16,November
164,CA-2016-113817,2016-11-07,11/11/2016,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688,2,2,5,77,2016,11,7,November
165,CA-2014-139892,2014-09-08,9/12/2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324,2,2,53,78,2014,9,8,September
172,CA-2014-118962,2014-08-05,8/9/2014,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Â x 11Â",20.94,3,0.0,9.8418,2,2,2,79,2014,8,5,August
175,US-2014-100853,2014-09-14,9/19/2014,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,-131.12,2,2,23,80,2014,9,14,September
177,US-2017-152366,2017-04-21,4/25/2017,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16,1,2,13,81,2017,4,21,April
178,US-2015-101511,2015-11-21,11/23/2015,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372,1,1,47,82,2015,11,21,November
180,CA-2015-137225,2015-12-15,12/19/2015,Standard Class,JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0.0,1.4104,2,2,21,83,2015,12,15,December
181,CA-2014-166191,2014-12-05,12/9/2014,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612,1,2,28,29,2014,12,5,December
183,CA-2014-158274,2014-11-19,11/24/2014,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,503.96,4,0.0,131.0296,1,3,54,84,2014,11,19,November
186,CA-2016-105018,2016-11-28,12/2/2016,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2,0.0,3.4368,2,2,55,85,2016,11,28,November
187,CA-2014-123260,2014-08-26,8/30/2014,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0.0,22.984,2,3,2,86,2014,8,26,August
188,CA-2016-157000,2016-07-16,7/22/2016,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,3.7224,2,2,56,87,2016,7,16,July
190,CA-2015-102281,2015-10-12,10/14/2015,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,112.392,3,1,21,88,2015,10,12,October
195,CA-2015-131457,2015-10-31,11/6/2015,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Redlands,California,92374,West,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28,7,0.0,6.7116,2,2,57,89,2015,10,31,October
